,sales_price,sales_date,Lot_size,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,zestimate,zindexvalue,full_bath,other_bath,is_studio,other_rooms,median_price,bg_1.0,bg_2.0,bg_3.0,bg_4.0,bg_5.0,bg_6.0,bg_7.0,bg_8.0,bg_9.0,bg_10.0,bg_11.0,bg_12.0,bg_13.0,bg_14.0,bg_15.0,ob_0.25,ob_0.5,ob_0.75
20,171000,02/12/2016,1751,3.0,1200.0,02/12/2016,171000.0,37.73639,-122.412103,1261487.0,1248000,2.0,0.0,0,2.0,1107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,871500,02/12/2016,3271,2.0,1265.0,02/12/2016,871500.0,37.76207,-122.43368999999998,1262136.0,1744100,1.0,0.0,0,3.0,1160000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,900000,02/12/2016,18978,1.0,859.0,02/12/2016,900000.0,37.78568,-122.430955,820965.0,1178700,1.0,0.0,0,3.0,925000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,1020000,02/12/2016,2989,2.0,1308.0,02/12/2016,1020000.0,37.783586,-122.477794,1077432.0,1485300,1.0,0.0,0,3.0,970000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1410500,02/12/2016,3000,2.0,1429.0,02/12/2016,1410500.0,37.783401,-122.476049,1170744.0,1485300,1.0,0.5,0,4.0,970000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,951000,02/12/2016,4077,3.0,1771.0,02/12/2016,951000.0,37.76100200000001,-122.504565,956441.0,1031800,1.0,0.0,0,5.0,850000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,430000,02/12/2016,1873,3.0,1452.0,02/12/2016,430000.0,37.728354,-122.381454,536665.0,731900,2.0,0.0,0,5.0,555000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,680000,02/12/2016,2500,3.0,1115.0,02/12/2016,680000.0,37.728777,-122.389531,631581.0,731900,2.0,0.0,0,3.0,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1440000,02/12/2016,9861,3.0,2378.0,02/12/2016,1440000.0,37.735851,-122.458653,1709182.0,1424100,3.0,0.0,0,5.0,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1700000,02/12/2016,3101,2.0,2063.0,02/12/2016,1700000.0,37.744348,-122.455305,1755644.0,1669300,2.0,0.5,0,8.0,1322500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
