,z_address,sales_price,sales_date,Lot_size,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,age,build_gen,zestimate,zindexvalue,zipcode,full_bath,other_bath,is_studio
2117,423 31st Ave,1762000,05/22/2015,3000,3.0,4.0,2564.0,05/22/2015,1762000.0,37.781216,-122.49158899999999,Central Richmond,10.0,SingleFamily,49.0,10.0,2007850.0,1480400,94121.0,3.0,0.0,0
2118,731 32nd Ave,1918000,05/22/2015,2996,3.5,5.0,2793.0,05/22/2015,1918000.0,37.77532,-122.492244,Outer Richmond,9.0,SingleFamily,89.0,6.0,2113601.0,1187700,94121.0,3.0,0.5,0
2119,1782 27th Ave,1200000,05/22/2015,2060,2.0,4.0,2270.0,05/22/2015,1200000.0,37.754226,-122.484806,Central Sunset,8.0,SingleFamily,83.0,7.0,1245353.0,1111300,94122.0,2.0,0.0,0
2120,2033-2035 Judah St,1480000,05/22/2015,2495,4.0,4.0,2500.0,05/22/2015,1480000.0,37.761144,-122.484031,Central Sunset,12.0,MultiFamily2To4,67.0,8.0,1533582.0,1111300,94122.0,4.0,0.0,0
2121,1518 9th Ave,2125000,05/22/2015,3000,2.0,4.0,2400.0,05/22/2015,2125000.0,37.759908,-122.46569299999999,Inner Sunset,11.0,SingleFamily,106.0,4.0,1886255.0,1348400,94122.0,2.0,0.0,0
2122,2329 N Point St,2500000,05/22/2015,3438,2.0,2.0,1785.0,05/22/2015,2500000.0,37.802209999999995,-122.445591,Marina,6.0,Condominium,88.0,6.0,2560320.0,2157700,94123.0,2.0,0.0,0
2123,3240 Lyon St,2875000,05/22/2015,3813,2.0,3.0,1902.0,05/22/2015,2875000.0,37.800948,-122.44729299999999,Marina,7.0,SingleFamily,87.0,6.0,4019025.0,2157700,94123.0,2.0,0.0,0
2124,15 Teresita Blvd APT 11,650000,05/22/2015,11677,2.0,2.0,862.0,05/22/2015,650000.0,37.745036,-122.45173999999999,Miraloma Park,4.0,Condominium,25.0,13.0,672625.0,1227600,94127.0,2.0,0.0,0
2125,62 Ulloa St,1386000,05/22/2015,3158,2.0,3.0,1779.0,05/22/2015,1386000.0,37.744859999999996,-122.45476599999999,Forest Hill Extension,6.0,SingleFamily,76.0,7.0,1680506.0,1657500,94127.0,2.0,0.0,0
2126,236 Ridgewood Ave,1410000,05/22/2015,2199,2.0,3.0,1665.0,05/22/2015,1410000.0,37.732108000000004,-122.45317800000001,Westwood Highlands,8.0,SingleFamily,89.0,6.0,1355311.0,1393200,94127.0,2.0,0.0,0
2127,250 Detroit St,1450000,05/22/2015,2500,2.0,3.0,2208.0,05/22/2015,1450000.0,37.729766999999995,-122.44401699999999,Sunnyside,5.0,SingleFamily,93.0,6.0,1706436.0,1030800,94131.0,2.0,0.0,0
2128,255 Duncan St,1900000,05/22/2015,2500,2.0,3.0,1507.0,05/22/2015,1900000.0,37.745937,-122.42591599999999,Noe Valley,8.0,SingleFamily,115.0,4.0,2078671.0,1751900,94131.0,2.0,0.0,0
2129,469 Valley St,2895000,05/22/2015,2848,3.0,4.0,3220.0,05/22/2015,2895000.0,37.743901,-122.43256000000001,Noe Valley,6.0,SingleFamily,1.0,15.0,3271078.0,1751900,94131.0,3.0,0.0,0
2130,1 Crescent Way APT 1216,529000,05/22/2015,42105,2.0,2.0,1063.0,05/22/2015,529000.0,37.71085,-122.39018200000001,Bayview,5.0,SingleFamily,14.0,14.0,615921.0,719000,94134.0,2.0,0.0,0
2131,967 Dwight St,665000,05/22/2015,2495,1.5,3.0,1070.0,05/22/2015,665000.0,37.721315999999995,-122.41163200000001,Portola,4.0,SingleFamily,58.0,9.0,917811.0,891600,94134.0,1.0,0.5,0
2132,1097 Howard St UNIT 103,700000,05/21/2015,11898,1.0,1.0,1017.0,05/21/2015,700000.0,37.777996,-122.40891200000002,South of Market,1.0,Condominium,17.0,13.0,809703.0,957300,94103.0,1.0,0.0,0
2133,155 Harriet St STE 12,890000,05/21/2015,9595,2.0,2.0,933.0,05/21/2015,890000.0,37.777615000000004,-122.404995,South of Market,5.0,Condominium,14.0,14.0,917556.0,957300,94103.0,2.0,0.0,0
2134,1810 Polk St # 2,832500,05/21/2015,5904,1.0,1.0,782.0,05/21/2015,832500.0,37.793684999999996,-122.42094399999999,Nob Hill,3.0,Condominium,9.0,14.0,833283.0,1440700,94109.0,1.0,0.0,0
2135,19 Foerster St,1136000,05/21/2015,2500,1.0,3.0,1340.0,05/21/2015,1136000.0,37.728738,-122.449123,Sunnyside,6.0,SingleFamily,90.0,6.0,1001539.0,1030800,94112.0,1.0,0.0,0
2136,242 Corbett Ave,1610000,05/21/2015,1890,2.0,3.0,1554.0,05/21/2015,1610000.0,37.761536,-122.443871,Corona Heights,9.0,SingleFamily,129.0,2.0,1598296.0,1449300,94114.0,2.0,0.0,0
2137,2121 Laguna St # 600,1150000,05/21/2015,8776,2.0,2.0,870.0,05/21/2015,1150000.0,37.79094,-122.42956000000001,Pacific Heights,4.0,Condominium,55.0,10.0,1155422.0,1884400,94115.0,2.0,0.0,0
2138,2323 Funston Ave,1430000,05/21/2015,3698,3.0,3.0,1608.0,05/21/2015,1430000.0,37.744676,-122.469586,Forest Hill,7.0,SingleFamily,79.0,7.0,1604155.0,1926800,94116.0,3.0,0.0,0
2139,1907 Page St,1475000,05/21/2015,2750,2.0,3.0,1754.0,05/21/2015,1475000.0,37.770028,-122.45234199999999,Haight-Ashbury,6.0,Condominium,115.0,4.0,1519978.0,1337700,94117.0,2.0,0.0,0
2140,283 12th Ave,2380000,05/21/2015,3000,3.0,3.0,2195.0,05/21/2015,2380000.0,37.782996000000004,-122.4712,Inner Richmond,8.0,SingleFamily,105.0,5.0,2356403.0,1679000,94118.0,3.0,0.0,0
2141,1827 41st Ave,1180000,05/21/2015,2909,2.0,3.0,1295.0,05/21/2015,1180000.0,37.752623,-122.50033400000001,Outer Sunset,5.0,SingleFamily,70.0,8.0,1303827.0,1030300,94122.0,2.0,0.0,0
2142,1874 31st Ave,1368000,05/21/2015,3000,3.0,7.0,2059.0,05/21/2015,1368000.0,37.752313,-122.4889,Central Sunset,11.0,SingleFamily,72.0,8.0,1399267.0,1111300,94122.0,3.0,0.0,0
2143,300 Berry St UNIT 818,785000,05/21/2015,41861,1.0,1.0,657.0,05/21/2015,785000.0,37.773928999999995,-122.39623999999999,South of Market,3.0,Condominium,6.0,14.0,820940.0,957300,94158.0,1.0,0.0,0
2144,1160 Mission St UNIT 2305,785000,05/20/2015,43557,1.0,1.0,654.0,05/20/2015,785000.0,37.778705,-122.41263500000001,South of Market,3.0,Condominium,8.0,14.0,789976.0,957300,94103.0,1.0,0.0,0
2145,260 King St UNIT 515,788000,05/20/2015,213232,1.0,1.0,903.0,05/20/2015,788000.0,37.777640999999996,-122.393417,South of Market,3.0,Condominium,11.0,14.0,824398.0,957300,94107.0,1.0,0.0,0
2146,1170 Sacramento St APT 15B,3850000,05/20/2015,14529,2.0,2.0,1961.0,05/20/2015,3850000.0,37.79293,-122.412195,Nob Hill,5.0,Condominium,52.0,10.0,4029146.0,1440700,94108.0,2.0,0.0,0
2147,1118 Eddy St APT D,716000,05/20/2015,2575,2.0,2.0,812.0,05/20/2015,716000.0,37.782443,-122.42624099999999,Western Addition,4.0,Condominium,23.0,13.0,747507.0,971300,94109.0,2.0,0.0,0
2148,66 Cleary Ct APT 306,830000,05/20/2015,65376,2.0,3.0,1180.0,05/20/2015,830000.0,37.784298,-122.427058,Western Addition,5.0,Condominium,52.0,10.0,944514.0,971300,94109.0,2.0,0.0,0
2149,105 29th St,1300000,05/20/2015,2099,3.0,3.0,1436.0,05/20/2015,1300000.0,37.743735,-122.422959,Noe Valley,7.0,Condominium,19.0,13.0,1343440.0,1751900,94110.0,3.0,0.0,0
2150,270 Curtis St,1100000,05/20/2015,3249,2.5,3.0,1422.0,05/20/2015,1100000.0,37.710533,-122.43871999999999,Crocker Amazon,6.0,SingleFamily,67.0,8.0,871724.0,817600,94112.0,2.0,0.5,0
2151,3735 Cesar Chavez,1313000,05/14/2015,2850,1.0,3.0,1313.0,06/05/2015,1313000.0,37.747675,-122.423355,Noe Valley,5.0,Condominium,103.0,5.0,1395012.0,1751900,94110.0,1.0,0.0,0
2152,130 Milton St,960000,05/14/2015,2500,1.5,2.0,1276.0,05/14/2015,960000.0,37.732776,-122.42958899999999,Bernal Heights,5.0,SingleFamily,100.0,5.0,1047561.0,1214400,94112.0,1.0,0.5,0
2153,4085 20th St,4500000,05/14/2015,2850,4.5,3.0,1965.0,05/14/2015,4500000.0,37.757612,-122.43188,Eureka Valley - Dolores Heights - Castro,6.0,SingleFamily,37.0,11.0,4634831.0,1718500,94114.0,4.0,0.5,0
2154,423 Waller St APT 7,890000,05/14/2015,2982,1.0,2.0,828.0,05/14/2015,890000.0,37.770852000000005,-122.430732,Hayes Valley,5.0,Condominium,50.0,10.0,900840.0,1202900,94117.0,1.0,0.0,0
2155,12 Woodland Ave # 2,1057000,05/14/2015,2040,1.0,2.0,1509.0,05/14/2015,1057000.0,37.764086999999996,-122.453208,Parnassus - Ashbury,4.0,Condominium,112.0,4.0,1679535.0,2111800,94117.0,1.0,0.0,0
2156,513 8th Ave,1325000,05/14/2015,2622,1.25,2.0,1525.0,05/14/2015,1325000.0,37.778638,-122.46656599999999,Inner Richmond,5.0,SingleFamily,80.0,7.0,1466783.0,1679000,94118.0,1.0,0.25,0
2157,1730 38th Ave,1052000,05/14/2015,3000,2.0,4.0,2100.0,05/14/2015,1052000.0,37.754601,-122.49659399999999,Outer Sunset,4.0,SingleFamily,70.0,8.0,1104951.0,1030300,94122.0,2.0,0.0,0
2158,1283 6th Ave,2855000,05/14/2015,2996,3.5,4.0,2640.0,05/14/2015,2855000.0,37.764613,-122.46346100000001,Inner Sunset,8.0,SingleFamily,111.0,4.0,2781059.0,1348400,94122.0,3.0,0.5,0
2159,1 Valletta Ct # 1,849000,05/14/2015,5766,2.0,2.0,1555.0,05/14/2015,849000.0,37.736499,-122.444902,Miraloma Park,6.0,Condominium,37.0,11.0,1188070.0,1227600,94131.0,2.0,0.0,0
2160,8200 Oceanview Ter APT 103,615000,05/14/2015,325629,2.0,2.0,950.0,05/14/2015,615000.0,37.71048,-122.46764499999999,Ingleside Heights,4.0,Condominium,13.0,14.0,769340.0,688100,94132.0,2.0,0.0,0
2161,18 Lansing St APT 201,1200000,05/13/2015,10062,2.0,1.0,1173.0,05/13/2015,1200000.0,37.786384000000005,-122.39383600000001,South Beach,4.0,Condominium,87.0,6.0,1223707.0,1269100,94105.0,2.0,0.0,0
2162,1138 Green St,1380000,05/13/2015,1960,1.0,3.0,1450.0,05/13/2015,1380000.0,37.798565999999994,-122.418028,Russian Hill,6.0,Condominium,104.0,5.0,1444543.0,1608800,94109.0,1.0,0.0,0
2163,542-544 London St,950000,05/13/2015,2495,3.0,4.0,2104.0,05/13/2015,950000.0,37.720634000000004,-122.437156,Excelsior,9.0,MultiFamily2To4,49.0,10.0,902627.0,757400,94112.0,3.0,0.0,0
2164,28 Harrington St,980000,05/13/2015,2495,2.0,2.0,1348.0,05/13/2015,980000.0,37.725640999999996,-122.434896,Mission Terrace,5.0,SingleFamily,66.0,8.0,922003.0,986000,94112.0,2.0,0.0,0
2165,3145 Turk Blvd # 2,1468000,05/13/2015,10463,2.0,3.0,1438.0,05/13/2015,1468000.0,37.776973,-122.45754199999999,Lone Mountain,5.0,Condominium,29.0,12.0,1495747.0,1419600,94118.0,2.0,0.0,0
2166,2540 Mcallister St,1965000,05/13/2015,2339,2.0,4.0,2100.0,05/13/2015,1965000.0,37.775842,-122.453925,Lone Mountain,10.0,SingleFamily,122.0,3.0,2315568.0,1419600,94118.0,2.0,0.0,0
2167,2715 Turk Blvd,2100000,05/13/2015,2250,2.0,3.0,2077.0,05/13/2015,2100000.0,37.777885999999995,-122.450923,Lone Mountain,7.0,SingleFamily,78.0,7.0,2091701.0,1419600,94118.0,2.0,0.0,0
2168,1834 34th Ave,1090000,05/13/2015,2962,1.0,2.0,1350.0,05/13/2015,1090000.0,37.752845,-122.49217,Central Sunset,5.0,SingleFamily,74.0,8.0,1129147.0,1111300,94122.0,1.0,0.0,0
2169,742 Myra Way,1313000,05/13/2015,3341,2.0,3.0,1253.0,05/13/2015,1313000.0,37.740728999999995,-122.45121499999999,Miraloma Park,5.0,SingleFamily,65.0,9.0,1055022.0,1227600,94127.0,2.0,0.0,0
2170,376 Marietta Dr,1500000,05/13/2015,3223,3.0,4.0,2295.0,05/13/2015,1500000.0,37.738977,-122.44375900000001,Miraloma Park,8.0,SingleFamily,52.0,10.0,1898684.0,1227600,94127.0,3.0,0.0,0
2171,55 San Fernando Way,3100000,05/13/2015,5000,5.0,4.0,3680.0,05/13/2015,3100000.0,37.735456,-122.46945900000001,St. Francis Wood,10.0,SingleFamily,95.0,6.0,3369497.0,3009100,94127.0,5.0,0.0,0
2172,8 Octavia St UNIT 606,1136500,05/13/2015,0,2.0,2.0,1001.0,05/13/2015,1136500.0,37.772242999999996,-122.42343899999999,Hayes Valley,5.0,Condominium,1.0,15.0,1091884.0,1202900,94102.0,2.0,0.0,0
2173,246 2nd St APT 1504,2001000,05/12/2015,12933,2.0,2.0,1426.0,05/12/2015,2001000.0,37.78575,-122.39740400000001,Yerba Buena,5.0,Condominium,15.0,14.0,1945036.0,993200,94105.0,2.0,0.0,0
2174,260 King St UNIT 903,1266000,05/12/2015,213232,2.0,2.0,1286.0,05/12/2015,1266000.0,37.777640999999996,-122.393417,South of Market,4.0,Condominium,11.0,14.0,1400781.0,957300,94107.0,2.0,0.0,0
2175,900 Bush St APT 405,575000,05/12/2015,37816,1.0,1.0,682.0,05/12/2015,575000.0,37.789945,-122.41273500000001,Downtown,4.0,Condominium,33.0,12.0,617885.0,795400,94109.0,1.0,0.0,0
2176,853 Peralta Ave,1750000,05/12/2015,1750,3.0,3.0,2100.0,05/12/2015,1750000.0,37.738849,-122.408767,Bernal Heights,7.0,SingleFamily,38.0,11.0,1457478.0,1214400,94110.0,3.0,0.0,0
2177,1100 Dolores St,1808000,05/12/2015,2159,2.0,3.0,1662.0,05/12/2015,1808000.0,37.751676,-122.425444,Eureka Valley - Dolores Heights - Castro,8.0,Condominium,74.0,8.0,1825251.0,1718500,94110.0,2.0,0.0,0
2178,3407 Folsom St # V,3150000,05/12/2015,2250,3.0,4.0,2293.0,05/12/2015,3150000.0,37.743968,-122.41296299999999,Bernal Heights,7.0,SingleFamily,4.0,15.0,3108950.0,1214400,94110.0,3.0,0.0,0
2179,737 Lisbon St,752000,05/12/2015,2495,1.0,2.0,1300.0,06/18/2015,752000.0,37.716763,-122.437223,Excelsior,6.0,SingleFamily,93.0,6.0,727405.0,757400,94112.0,1.0,0.0,0
2180,18 Colonial Way APT 9,900000,05/12/2015,7415,2.0,2.0,1449.0,05/12/2015,900000.0,37.7287,-122.44060900000001,Mission Terrace,7.0,Condominium,12.0,14.0,914500.0,986000,94112.0,2.0,0.0,0
2181,220 Corbett Ave,1120000,05/12/2015,2966,2.0,2.0,960.0,05/12/2015,1120000.0,37.761731,-122.443431,Corona Heights,5.0,Condominium,113.0,4.0,1161710.0,1449300,94114.0,2.0,0.0,0
2182,34 Landers St,1275000,05/12/2015,3125,1.0,3.0,1450.0,05/12/2015,1275000.0,37.767148,-122.428124,Mission,6.0,Condominium,115.0,4.0,1320655.0,1167700,94114.0,1.0,0.0,0
2183,1950-1952 15TH St,1440000,05/12/2015,2125,3.0,3.0,5700.0,05/12/2015,1440000.0,37.766391,-122.427878,Mission,17.0,Duplex,107.0,4.0,3593627.0,1167700,94114.0,3.0,0.0,0
2184,544 Hill St,4000000,05/12/2015,2848,3.5,4.0,2988.0,05/12/2015,4000000.0,37.755596999999995,-122.433429,Eureka Valley - Dolores Heights - Castro,12.0,SingleFamily,119.0,3.0,4327665.0,1718500,94114.0,3.0,0.5,0
2185,647-649 14TH Ave,3315000,05/12/2015,4460,4.0,6.0,4840.0,05/12/2015,3315000.0,37.775939,-122.472858,Central Richmond,14.0,MultiFamily2To4,93.0,6.0,3342016.0,1480400,94118.0,4.0,0.0,0
2186,1254 40th Ave,550000,05/12/2015,2996,1.0,2.0,1050.0,05/12/2015,550000.0,37.763413,-122.499358,Outer Sunset,5.0,SingleFamily,90.0,6.0,918949.0,1030300,94122.0,1.0,0.0,0
2187,336 28th St,1875000,05/12/2015,3247,3.0,3.0,1500.0,05/12/2015,1875000.0,37.745366,-122.42989299999999,Noe Valley,9.0,Condominium,11.0,14.0,1919226.0,1751900,94131.0,3.0,0.0,0
2188,708 27th St,2700000,05/12/2015,2112,2.5,4.0,2449.0,05/12/2015,2700000.0,37.746526,-122.43621999999999,Noe Valley,10.0,SingleFamily,74.0,8.0,2778938.0,1751900,94131.0,2.0,0.5,0
2189,255 Clinton Park,960000,05/11/2015,1688,1.0,2.0,1074.0,05/11/2015,960000.0,37.768888000000004,-122.42574599999999,Mission,5.0,Condominium,107.0,4.0,1089998.0,1167700,94103.0,1.0,0.0,0
2190,583 Naples St,698000,05/11/2015,2500,1.5,3.0,1140.0,05/11/2015,698000.0,37.719459,-122.431921,Excelsior,5.0,SingleFamily,108.0,4.0,882576.0,757400,94112.0,1.0,0.5,0
2191,630 Castro St # IT1,155000,05/11/2015,0,2.0,3.0,1815.0,05/11/2015,155000.0,37.758697,-122.435195,Eureka Valley - Dolores Heights - Castro,7.0,Condominium,56.0,9.0,1768286.0,1718500,94114.0,2.0,0.0,0
2192,2635 20th Ave,750000,05/11/2015,2996,1.0,2.0,1105.0,05/11/2015,750000.0,37.738571,-122.476781,Parkside,5.0,SingleFamily,89.0,6.0,924136.0,1094000,94116.0,1.0,0.0,0
2193,174 26th Ave,3600000,05/11/2015,3144,4.0,5.0,4271.0,05/11/2015,3600000.0,37.786225,-122.485929,Lake,10.0,SingleFamily,33.0,12.0,4424346.0,2202400,94121.0,4.0,0.0,0
2194,1262 46th Ave,875000,05/11/2015,2996,1.0,2.0,720.0,05/11/2015,875000.0,37.762992,-122.505779,Outer Sunset,4.0,SingleFamily,113.0,4.0,841425.0,1030300,94122.0,1.0,0.0,0
2195,1606 22nd Ave,1662000,05/11/2015,2375,3.0,5.0,2500.0,05/11/2015,1662000.0,37.757633,-122.479647,Central Sunset,7.0,SingleFamily,86.0,6.0,1547416.0,1111300,94122.0,3.0,0.0,0
2196,804 Red Leaf Ct,466000,05/11/2015,91485,2.0,2.0,906.0,05/11/2015,466000.0,37.708690000000004,-122.426999,Crocker Amazon,5.0,Condominium,28.0,12.0,489001.0,817600,94134.0,2.0,0.0,0
2197,31 Ervine St,800000,05/11/2015,1580,3.0,3.0,2157.0,05/11/2015,800000.0,37.7172,-122.408322,Visitacion Valley,7.0,SingleFamily,26.0,12.0,877572.0,690400,94134.0,3.0,0.0,0
2198,325 Berry St APT 419,1025000,05/11/2015,41654,1.0,1.0,962.0,05/11/2015,1025000.0,37.773384,-122.39575900000001,South of Market,4.0,Condominium,8.0,14.0,1043095.0,957300,94158.0,1.0,0.0,0
2199,55 Page St APT 824,1367000,05/08/2015,25801,2.0,2.0,1023.0,05/08/2015,1367000.0,37.773913,-122.42203899999998,Van Ness - Civic Center,5.0,Condominium,7.0,14.0,1065390.0,839200,94102.0,2.0,0.0,0
2200,322 6th St # IT2,775000,05/08/2015,6025,1.0,1.0,962.0,05/08/2015,775000.0,37.777938,-122.405395,South of Market,4.0,Condominium,14.0,14.0,834645.0,957300,94103.0,1.0,0.0,0
2201,355 1st St UNIT S710,825000,05/08/2015,38571,1.0,1.0,675.0,05/08/2015,825000.0,37.787029,-122.393638,South Beach,3.0,Condominium,11.0,14.0,849835.0,1269100,94105.0,1.0,0.0,0
2202,1007 Rhode Island St,1150000,05/08/2015,2500,2.0,2.0,1300.0,05/08/2015,1150000.0,37.756743,-122.40148799999999,Potrero Hill,4.0,SingleFamily,115.0,4.0,1294451.0,1264000,94107.0,2.0,0.0,0
2203,625 Mississippi St,1455000,05/08/2015,2495,1.0,2.0,1095.0,05/08/2015,1455000.0,37.758606,-122.393891,Potrero Hill,5.0,SingleFamily,103.0,5.0,1222001.0,1264000,94107.0,1.0,0.0,0
2204,1895 Pacific Ave APT 505,1211000,05/08/2015,7202,1.0,1.0,1115.0,05/08/2015,1211000.0,37.794168,-122.426243,Pacific Heights,4.0,Condominium,84.0,7.0,1138486.0,1884400,94109.0,1.0,0.0,0
2205,59 Winfield St,940000,05/08/2015,1751,1.0,1.0,768.0,05/08/2015,940000.0,37.744215000000004,-122.41726399999999,Bernal Heights,3.0,SingleFamily,70.0,8.0,1008277.0,1214400,94110.0,1.0,0.0,0
2206,13 Eugenia Ave,1200000,05/08/2015,2474,1.0,2.0,900.0,05/08/2015,1200000.0,37.742129999999996,-122.42138500000001,Bernal Heights,6.0,SingleFamily,115.0,4.0,1206516.0,1214400,94110.0,1.0,0.0,0
2207,166 Del Monte St,575000,05/08/2015,3079,1.0,2.0,977.0,01/27/2016,775000.0,37.715044,-122.444755,Outer Mission,5.0,SingleFamily,90.0,6.0,770832.0,804400,94112.0,1.0,0.0,0
2208,645 Brunswick St,901000,05/08/2015,2504,2.5,4.0,1879.0,05/08/2015,901000.0,37.709288,-122.44639199999999,Crocker Amazon,7.0,SingleFamily,49.0,10.0,1040104.0,817600,94112.0,2.0,0.5,0
2209,282 Eureka St,2900000,05/08/2015,1875,2.5,3.0,1450.0,05/08/2015,2900000.0,37.757738,-122.438216,Eureka Valley - Dolores Heights - Castro,6.0,SingleFamily,115.0,4.0,2022796.0,1718500,94114.0,2.0,0.5,0
2210,470 Alvarado St,4100000,05/08/2015,2850,3.0,4.0,2563.0,05/08/2015,4100000.0,37.75411,-122.431404,Eureka Valley - Dolores Heights - Castro,9.0,SingleFamily,91.0,6.0,4832691.0,1718500,94114.0,3.0,0.0,0
2211,2246 39th Ave,1200000,05/08/2015,3000,2.0,3.0,1465.0,05/08/2015,1200000.0,37.744955,-122.49698899999999,Outer Parkside,8.0,SingleFamily,67.0,8.0,1237252.0,982900,94116.0,2.0,0.0,0
2212,720 5th Ave,1750000,05/08/2015,2996,1.5,3.0,2050.0,03/04/2016,1876000.0,37.775015,-122.462446,Inner Richmond,8.0,SingleFamily,102.0,5.0,1685916.0,1679000,94118.0,1.0,0.5,0
2213,682 12th Ave,2550000,05/08/2015,3000,2.0,3.0,2388.0,05/08/2015,2550000.0,37.77551,-122.47,Inner Richmond,8.0,SingleFamily,99.0,5.0,1930615.0,1679000,94118.0,2.0,0.0,0
2214,305 27th Ave,965000,05/08/2015,1350,1.0,2.0,1190.0,05/08/2015,965000.0,37.78354,-122.48731000000001,Central Richmond,4.0,Condominium,93.0,6.0,1000034.0,1480400,94121.0,1.0,0.0,0
2215,1439 28th Ave,1652000,05/08/2015,3000,4.0,5.0,2147.0,05/08/2015,1652000.0,37.7605,-122.48691399999998,Central Sunset,9.0,SingleFamily,89.0,6.0,1577979.0,1111300,94122.0,4.0,0.0,0
2216,1520 Thomas Ave,650000,05/08/2015,2495,2.0,3.0,1200.0,05/08/2015,650000.0,37.729784,-122.389646,Bayview,8.0,SingleFamily,97.0,5.0,531429.0,719000,94124.0,2.0,0.0,0
2217,95 Ledyard St,752000,05/08/2015,2413,2.0,2.0,1698.0,05/08/2015,752000.0,37.732625,-122.40110800000001,Silver Terrace,8.0,SingleFamily,75.0,8.0,785925.0,720300,94124.0,2.0,0.0,0
2218,88 El Sereno Ct,1500000,05/08/2015,3563,1.0,2.0,1361.0,05/08/2015,1500000.0,37.739173,-122.445857,Miraloma Park,6.0,SingleFamily,75.0,8.0,1593099.0,1227600,94127.0,1.0,0.0,0
2219,194 Granville Way,1580000,05/08/2015,3036,2.0,3.0,1459.0,05/08/2015,1580000.0,37.742508,-122.462175,West Portal,7.0,SingleFamily,92.0,6.0,1666486.0,1551600,94127.0,2.0,0.0,0
2220,615 Junipero Serra Blvd,1645000,05/08/2015,4996,3.0,3.0,2448.0,05/08/2015,1645000.0,37.727348,-122.47143,Ingleside Terrace,8.0,SingleFamily,88.0,6.0,1723082.0,1621200,94127.0,3.0,0.0,0
2221,88 Clairview Ct,1100000,05/08/2015,5301,1.0,3.0,1100.0,05/08/2015,1100000.0,37.754856,-122.449403,Midtown Terrace,6.0,SingleFamily,57.0,9.0,1147791.0,1108400,94131.0,1.0,0.0,0
2222,8200 Oceanview Ter APT 321,625000,05/08/2015,325629,2.0,3.0,1186.0,05/08/2015,625000.0,37.71048,-122.46764499999999,Ingleside Heights,5.0,Condominium,13.0,14.0,678827.0,688100,94132.0,2.0,0.0,0
2223,331 Victoria St,730000,05/08/2015,2500,1.0,2.0,1150.0,05/08/2015,730000.0,37.716709,-122.465602,Ingleside Heights,5.0,SingleFamily,74.0,8.0,748644.0,688100,94132.0,1.0,0.0,0
2224,131 Morningside Dr,1420000,05/08/2015,4750,2.5,4.0,2500.0,05/08/2015,1420000.0,37.731229,-122.492494,Lakeshore,8.0,SingleFamily,64.0,9.0,1607786.0,1237900,94132.0,2.0,0.5,0
2225,301 Crescent Ct APT 3318,550000,05/08/2015,114415,1.0,1.0,807.0,05/08/2015,550000.0,37.711177,-122.388084,Bayview,3.0,Condominium,8.0,14.0,536775.0,719000,94134.0,1.0,0.0,0
2226,300 Berry St UNIT 303,900000,05/08/2015,41861,1.0,1.0,732.0,05/08/2015,900000.0,37.773928999999995,-122.39623999999999,South of Market,4.0,Townhouse,6.0,14.0,916919.0,957300,94158.0,1.0,0.0,0
2227,125 Gilbert St APT 19,1070000,05/07/2015,9580,1.5,2.0,1224.0,05/07/2015,1070000.0,37.773225,-122.40191200000001,South of Market,3.0,Condominium,19.0,13.0,1072963.0,957300,94103.0,1.0,0.5,0
2228,25 Joice St,812000,05/07/2015,1981,2.0,2.0,1100.0,05/07/2015,812000.0,37.791540000000005,-122.40843000000001,Downtown,4.0,Condominium,104.0,5.0,942351.0,795400,94108.0,2.0,0.0,0
2229,1388 Gough St APT 707,1316000,05/07/2015,25061,2.0,2.0,1296.0,05/07/2015,1316000.0,37.78587,-122.42445500000001,Van Ness - Civic Center,5.0,Condominium,22.0,13.0,1353497.0,839200,94109.0,2.0,0.0,0
2230,37 Ottawa Ave,878000,05/07/2015,2186,1.0,2.0,1025.0,05/07/2015,878000.0,37.714164000000004,-122.44478000000001,Outer Mission,5.0,SingleFamily,86.0,6.0,862578.0,804400,94112.0,1.0,0.0,0
2231,1783 Turk St,950000,05/07/2015,1875,1.0,2.0,1261.0,05/07/2015,950000.0,37.779509999999995,-122.438305,Western Addition,9.0,Condominium,115.0,4.0,1286289.0,971300,94115.0,1.0,0.0,0
2232,2667 21st Ave,1350000,05/07/2015,2996,1.0,3.0,1580.0,05/07/2015,1350000.0,37.737970000000004,-122.47781499999999,Parkside,6.0,SingleFamily,88.0,6.0,908033.0,1094000,94116.0,1.0,0.0,0
2233,1450 Buena Vista East Ave,3130000,05/07/2015,0,2.0,3.0,2317.0,05/07/2015,3130000.0,37.769597999999995,-122.438345,Buena Vista Park,7.0,Condominium,115.0,4.0,2204983.0,1470700,94117.0,2.0,0.0,0
2234,1501 Greenwich St UNIT 207,1366000,05/07/2015,12161,2.0,2.0,1064.0,05/07/2015,1366000.0,37.800064,-122.424682,Cow Hollow,4.0,Condominium,7.0,14.0,1387299.0,2134300,94123.0,2.0,0.0,0
2235,301 Hamilton St,1110000,05/07/2015,1999,2.0,3.0,1250.0,05/07/2015,1110000.0,37.727184,-122.40979899999999,Portola,5.0,SingleFamily,62.0,9.0,1025188.0,891600,94134.0,2.0,0.0,0
